"","sex","age","desexed","purebred","gaze_follow","training_score","aggression_score","fear_score","separation_score","excitability_score","attachment_score","miscellaneous_score","ostensive","ostensive_binary","nonostensive","nonostensive_binary","os_best"
"257",1,1.3,2,2,3,2.75,0,0.222222222222222,0,1.33333333333333,1.33333333333333,0.384615384615385,0.333333333333333,0,0,0,0
"258",1,5,1,1,4,2.75,0.333333333333333,0.5,0.125,1.66666666666667,2.5,0.888888888888889,0.5,0,0.125,0,0
"259",2,12.8,1,1,3,3,1.17391304347826,1.11764705882353,1,2.33333333333333,1.5,1.03703703703704,0.5,0,0.5,0,0
"260",2,3.8,1,1,3,2.875,0,0.166666666666667,0,3,2.16666666666667,0.615384615384615,0.5,0,0.5,0,0
"261",1,2.4,1,2,3,2.625,0,0.833333333333333,0.875,0.833333333333333,1.66666666666667,1.22222222222222,0.625,1,0.125,0,0
"262",2,1.5,1,1,3,3,0.318181818181818,0.444444444444444,0.5,1.83333333333333,3,1.11111111111111,0.375,0,0.5,0,1
"263",1,2.2,1,1,2,2.28571428571429,0.185185185185185,0.777777777777778,0.428571428571429,1.5,2.5,1.03703703703704,0.625,1,0.625,1,0
"264",1,3.4,1,1,3,2.28571428571429,0.0454545454545455,0.611111111111111,0.375,2,1.33333333333333,0.56,0.625,1,0.5,0,0
"265",1,4.4,1,2,4,2.625,0.318181818181818,0.529411764705882,0.375,2,2.33333333333333,1.42307692307692,1,1,0.8,1,0
"266",2,2.8,1,1,3,2.625,0.153846153846154,0.166666666666667,0.125,2,3,0.958333333333333,0.625,1,0.625,1,0
"267",1,1.9,1,1,4,2.75,0.148148148148148,0.411764705882353,0.375,2,1.16666666666667,1.03703703703704,0.5,0,0.5,0,0
"268",2,1.8,1,2,3,2.5,1.13636363636364,0.882352941176471,0.375,3.16666666666667,3,0.958333333333333,0.75,1,0.5,0,0
"269",2,2.7,1,1,2,2.57142857142857,0.111111111111111,0.444444444444444,1.25,3.16666666666667,2,0.92,0.875,1,0.5,0,0
"270",2,4.9,1,2,3,2.75,0.777777777777778,0.647058823529412,1.25,2.83333333333333,2.83333333333333,1.37037037037037,0.625,1,0.375,0,0
"271",1,8.2,1,2,4,2.625,0.333333333333333,0.444444444444444,0,1.66666666666667,1.83333333333333,1,0.75,1,0.625,1,0
"272",2,2.3,1,2,3,2.625,0.590909090909091,1.41176470588235,0.375,3.16666666666667,3,1.07692307692308,0.5,0,0.5,0,0
"273",1,5.9,1,2,4,2.5,0.521739130434783,0.8125,NA,1.66666666666667,2.5,0.708333333333333,0.5,0,0.625,1,1
"274",2,4.3,1,2,4,2.625,0.37037037037037,0.277777777777778,1.28571428571429,3.5,2.66666666666667,0.80952380952381,0.375,0,0.5,0,1
"275",2,7.7,1,1,3,2.625,0.703703703703704,0,0,3.66666666666667,2.5,1.07407407407407,0.75,1,0.75,1,0
"276",1,3.6,1,1,4,3.57142857142857,0.818181818181818,1.94444444444444,0,3,2.5,1.14814814814815,0.5,0,0.25,0,0
"277",1,3.9,1,2,2,2,0.925925925925926,1.88888888888889,0.125,1.83333333333333,2.33333333333333,1.22222222222222,NA,NA,1,1,NA
"278",2,7.4,1,2,3,2.5,0.545454545454545,0.611111111111111,0.875,1.83333333333333,2.33333333333333,0.769230769230769,0.571428571428571,1,0.875,1,1
"279",1,8.5,1,2,3,2.375,0.555555555555556,0.833333333333333,0,2.66666666666667,1.83333333333333,1.11111111111111,0.75,1,NA,NA,NA
"280",2,7.3,1,1,4,2.85714285714286,0.192307692307692,0.277777777777778,0,2,3,0.222222222222222,0.75,1,0.5,0,0
"281",1,3.4,1,1,3,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.75,1,1
"282",1,1.7,2,1,3,2.5,0.148148148148148,0.714285714285714,0,2,2.16666666666667,0.807692307692308,0.5,0,0.5,0,0
"283",2,11.5,1,1,4,2.5,0,0.294117647058824,0,2.33333333333333,1.66666666666667,0.62962962962963,0.5,0,0.625,1,1
"284",2,2.2,1,1,3,2.875,0.148148148148148,0,0,3,1.5,1,0.5,0,NA,NA,NA
