"","X.1","X","sex","age","desexed","purebred","gaze_follow","training_score","aggression_score","fear_score","separation_score","excitability_score","attachment_score","miscellaneous_score","ostensive","ostensive_binary","nonostensive","nonostensive_binary","os_best"
"1",1,1,1,0.753107075259184,1,2,4,-0.88486202308811,2.17791012905133,1.39839234115919,-0.797303570307237,0.242866902281174,0.486845547378142,0.171087348955148,0.75,1,0.75,1,0
"2",2,2,2,-1.19126484654374,1,2,3,0.809981814513917,-0.214279969954668,-0.149903356267159,-0.312636890616351,3.38314211834307e-15,2.69432402179323e-15,9.6715835206221e-16,0.333333333333333,0,0.666666666666667,1,1
"3",3,3,1,0.786062531560929,1,2,3,1.14895058203432,-0.461299599743331,-1.15864146216614,-0.797303570307237,1.51256003424044,-0.77712910476387,-0.534427530065814,0.5,0,0.625,1,1
"4",4,4,2,0.390597055939994,2,1,4,-0.0616521591099781,-0.688557659148901,-1.02570698309419,-0.312636890616351,-0.315798075780912,-0.0187443134786599,-1.22703664910469,0.5,0,0.375,0,0
"5",5,5,1,2.73043445336385,1,2,4,-0.449045036276148,-0.214279969954668,-0.149903356267159,-0.312636890616351,3.38314211834307e-15,2.69432402179323e-15,9.6715835206221e-16,0.777777777777778,1,0.125,0,0
"6",6,6,1,-0.0378238759826842,1,2,5,0.809981814513917,2.17791012905133,2.03178603556088,-0.797303570307237,2.27437591341601,0.234050616949749,1.55630558703289,0.5,0,0.444444444444444,0,0
"7",7,7,1,-0.103734788586173,1,2,3,0.471013046993512,-1.06273869835921,-0.892772504022226,-0.312636890616351,-0.772887603286251,-1.28271896562067,-0.726524803645395,0.5,0,0.5,0,0
"8",8,8,2,1.2803943760871,1,2,3,-1.22383079060852,-0.488746225275406,0.2723591066673,-0.797303570307237,1.00468278145674,-0.271539243907068,1.06042657849025,0.521274190562416,0,0.504054415609776,0,0
"9",9,9,2,1.34630528869059,1,2,4,-1.99861654494088,1.29528443430938,-0.290657510578646,0.172029789074535,0.242866902281174,-1.28271896562067,2.17727119232501,0.5,0,0.666666666666667,1,1
"10",10,10,2,0.423552512241739,1,2,4,-1.22383079060852,2.50293595772061,2.33088861347279,2.24917270203547,0.750744155064878,0.486845547378142,0.627090868322355,0.636363636363636,1,0.5,0,0
"11",11,11,1,2.7633899096656,1,2,3,-2.24073709316973,0.700607547781121,1.82065480409364,-0.312636890616351,0.903107330899991,-0.271539243907068,-0.366652650298633,0.625,1,0.5,0,0
"12",12,12,2,-0.334422982698385,1,1,3,-0.545893255567704,1.76187706835463,0.19729022436784,-0.312636890616351,0.242866902281174,0.486845547378142,1.06042657849025,0.5,0,0.25,0,0
